d;usd
2022-10-31;61.3961
2022-10-28;61.3127
2022-10-27;61.6716
2022-10-26;61.3662
2022-10-25;61.5237
2022-10-24;61.185
2022-10-21;61.2821
2022-10-20;61.2618
2022-10-19;61.6925
2022-10-18;61.5767
2022-10-17;61.6922
2022-10-14;62.0396
2022-10-13;63.6065
2022-10-12;64.41
2022-10-11;63.6616
2022-10-10;62.6514
2022-10-07;60.9567
2022-10-06;60.9234
2022-10-05;60.2145
2022-10-04;58.5984
2022-10-03;58.9138
2022-09-30;58.405
2022-09-29;57.4003
2022-09-28;57.5726
2022-09-27;58.4154
2022-09-26;58.3694
2022-09-23;57.6586
2022-09-22;58.7577
2022-09-21;60.644
2022-09-20;60.4751
2022-09-19;60.1632
2022-09-16;60.166
2022-09-15;59.8379
2022-09-14;59.8193
2022-09-13;60.0282
2022-09-12;60.2573
2022-09-09;60.525
2022-09-08;60.835
2022-09-07;60.8302
2022-09-06;61.002
2022-09-05;60.8734
2022-09-02;60.6108
2022-09-01;60.2187
2022-08-31;60.0797
2022-08-30;59.9482
2022-08-29;60.3837
2022-08-26;60.4123
2022-08-25;59.8325
2022-08-24;59.8988
2022-08-23;59.8218
2022-08-22;59.7977
2022-08-19;59.0758
2022-08-18;59.4729
2022-08-17;60.6692
2022-08-16;60.9143
2022-08-15;61.285
2022-08-12;60.5968
2022-08-11;60.7416
2022-08-10;60.6017
2022-08-09;60.3018
2022-08-08;60.7178
2022-08-05;60.3505
2022-08-04;60.3534
2022-08-03;60.4963
2022-08-02;60.3243
2022-08-01;60.3073
2022-07-29;61.7584
2022-07-28;60.6098
2022-07-27;59.9554
2022-07-26;60.7963
2022-07-25;58.0438
2022-07-22;56.8697
2022-07-21;56.6409
2022-07-20;54.9869
2022-07-19;55.5299
2022-07-18;56.5072
2022-07-15;57.213
2022-07-14;58.3483
2022-07-13;58.3084
2022-07-12;58.8413
2022-07-11;59.0139
2022-07-08;61.1589
2022-07-07;61.9383
2022-07-06;63.5363
2022-07-05;61.1715
2022-07-04;55.6057
2022-07-01;54.4539
2022-06-30;51.641
2022-06-29;53.0281
2022-06-28;51.7755
2022-06-27;53.3185
2022-06-24;53.244
2022-06-23;53.479
2022-06-22;53.2802
2022-06-21;53.8474
2022-06-20;55.7913
2022-06-17;56.3734
2022-06-16;56.6944
